recv_time_ms,node,topic,latency_ms
1764453232036,lt-9,sensors/test/environment,42
1764453232037,lt-0,sensors/test/environment,42
1764453232037,lt-44,sensors/test/environment,41
1764453232038,lt-18,sensors/test/environment,40
1764453232039,lt-27,sensors/test/environment,41
1764453232043,lt-36,sensors/test/environment,41
1764453232043,lt-1,sensors/test/environment,41
1764453232045,lt-10,sensors/test/environment,41
1764453232047,lt-19,sensors/test/environment,41
1764453232048,lt-45,sensors/test/environment,41
1764453232050,lt-28,sensors/test/environment,41
1764453232052,lt-37,sensors/test/environment,41
1764453232054,lt-11,sensors/test/environment,41
1764453232055,lt-2,sensors/test/environment,41
1764453232058,lt-46,sensors/test/environment,41
1764453232058,lt-20,sensors/test/environment,41
1764453232060,lt-29,sensors/test/environment,41
1764453232063,lt-38,sensors/test/environment,41
1764453232064,lt-3,sensors/test/environment,41
1764453232065,lt-12,sensors/test/environment,41
1764453232067,lt-21,sensors/test/environment,41
1764453232068,lt-47,sensors/test/environment,41
1764453232071,lt-30,sensors/test/environment,42
1764453232073,lt-39,sensors/test/environment,41
1764453232076,lt-13,sensors/test/environment,42
1764453232076,lt-4,sensors/test/environment,42
1764453232079,lt-48,sensors/test/environment,40
1764453232079,lt-22,sensors/test/environment,41
1764453232082,lt-31,sensors/test/environment,41
1764453232083,lt-40,sensors/test/environment,41
1764453232085,lt-14,sensors/test/environment,41
1764453232086,lt-5,sensors/test/environment,42
1764453232088,lt-23,sensors/test/environment,41
1764453232089,lt-49,sensors/test/environment,41
1764453232091,lt-32,sensors/test/environment,41
1764453232097,lt-41,sensors/test/environment,41
1764453232097,lt-15,sensors/test/environment,41
1764453232098,lt-6,sensors/test/environment,42
1764453232101,lt-24,sensors/test/environment,41
1764453232101,lt-33,sensors/test/environment,41
1764453232105,lt-7,sensors/test/environment,41
1764453232107,lt-16,sensors/test/environment,41
1764453232107,lt-42,sensors/test/environment,41
1764453232109,lt-25,sensors/test/environment,41
1764453232112,lt-34,sensors/test/environment,41
1764453232115,lt-8,sensors/test/environment,41
1764453232116,lt-43,sensors/test/environment,41
1764453232118,lt-17,sensors/test/environment,41
1764453232120,lt-26,sensors/test/environment,41
1764453232122,lt-35,sensors/test/environment,41
1764453232126,lt-9,sensors/test/environment,41
1764453232127,lt-0,sensors/test/environment,41
1764453232128,lt-44,sensors/test/environment,41
1764453232129,lt-18,sensors/test/environment,41
1764453232130,lt-27,sensors/test/environment,41
1764453232133,lt-36,sensors/test/environment,41
1764453232134,lt-1,sensors/test/environment,41
1764453232136,lt-10,sensors/test/environment,41
1764453232139,lt-19,sensors/test/environment,42
1764453232139,lt-45,sensors/test/environment,41
1764453232141,lt-28,sensors/test/environment,41
1764453232143,lt-37,sensors/test/environment,41
1764453232145,lt-11,sensors/test/environment,41
1764453232146,lt-2,sensors/test/environment,41
1764453232149,lt-46,sensors/test/environment,41
1764453232149,lt-20,sensors/test/environment,41
1764453232151,lt-29,sensors/test/environment,41
1764453232154,lt-38,sensors/test/environment,41
1764453232156,lt-3,sensors/test/environment,42
1764453232156,lt-12,sensors/test/environment,41
1764453232158,lt-21,sensors/test/environment,41
1764453232160,lt-47,sensors/test/environment,42
1764453232161,lt-30,sensors/test/environment,40
1764453232164,lt-39,sensors/test/environment,41
1764453232166,lt-13,sensors/test/environment,41
1764453232167,lt-4,sensors/test/environment,42
1764453232170,lt-22,sensors/test/environment,41
1764453232170,lt-48,sensors/test/environment,41
1764453232174,lt-40,sensors/test/environment,41
1764453232175,lt-31,sensors/test/environment,42
1764453232176,lt-5,sensors/test/environment,40
1764453232176,lt-14,sensors/test/environment,41
1764453232180,lt-23,sensors/test/environment,42
1764453232180,lt-49,sensors/test/environment,41
1764453232184,lt-32,sensors/test/environment,43
1764453232189,lt-6,sensors/test/environment,42
1764453232190,lt-15,sensors/test/environment,43
1764453232190,lt-41,sensors/test/environment,43
1764453232193,lt-33,sensors/test/environment,42
1764453232193,lt-24,sensors/test/environment,42
1764453232197,lt-7,sensors/test/environment,42
1764453232199,lt-42,sensors/test/environment,41
1764453232200,lt-16,sensors/test/environment,43
1764453232201,lt-25,sensors/test/environment,42
1764453232204,lt-34,sensors/test/environment,42
1764453232206,lt-8,sensors/test/environment,41
1764453232207,lt-43,sensors/test/environment,41
1764453232209,lt-17,sensors/test/environment,41
1764453232211,lt-26,sensors/test/environment,41
1764453232213,lt-35,sensors/test/environment,41
1764453232217,lt-9,sensors/test/environment,40
1764453232219,lt-0,sensors/test/environment,42
1764453232219,lt-44,sensors/test/environment,41
1764453232220,lt-18,sensors/test/environment,41
1764453232221,lt-27,sensors/test/environment,41
1764453232227,lt-36,sensors/test/environment,43
1764453232228,lt-1,sensors/test/environment,44
1764453232229,lt-10,sensors/test/environment,42
1764453232229,lt-19,sensors/test/environment,41
1764453232230,lt-45,sensors/test/environment,41
1764453232233,lt-28,sensors/test/environment,41
1764453232234,lt-37,sensors/test/environment,41
1764453232236,lt-11,sensors/test/environment,40
1764453232237,lt-2,sensors/test/environment,41
1764453232241,lt-46,sensors/test/environment,42
1764453232241,lt-20,sensors/test/environment,41
1764453232243,lt-29,sensors/test/environment,41
1764453232245,lt-38,sensors/test/environment,41
1764453232246,lt-3,sensors/test/environment,41
1764453232247,lt-12,sensors/test/environment,41
1764453232249,lt-21,sensors/test/environment,41
1764453232250,lt-47,sensors/test/environment,41
1764453232252,lt-30,sensors/test/environment,41
1764453232255,lt-39,sensors/test/environment,41
1764453232257,lt-4,sensors/test/environment,41
1764453232258,lt-13,sensors/test/environment,41
1764453232261,lt-48,sensors/test/environment,41
1764453232261,lt-22,sensors/test/environment,41
